datetime,close,acc_close,div
2015-02-13,1334.86,,0.0424
2015-02-16,1339.69,,0.0425
2015-02-17,1351.72,,0.0423
2015-02-25,1346.06,,0.0423
2015-02-26,1381.94,,0.0414
2015-02-27,1381.86,,0.0413
2015-03-02,1392.5,,0.0412
2015-03-03,1359.84,,0.0426
2015-03-04,1362.59,,0.0428
2015-03-05,1338.43,,0.0437
2015-03-06,1341.63,,0.0435
2015-03-09,1372.66,,0.042
2015-03-10,1370.55,,0.0427
2015-03-11,1380.22,,0.0424
2015-03-12,1411.74,,0.0411
2015-03-13,1423.03,,0.041
2015-03-16,1449.8,,0.0405
2015-03-17,1474.39,,0.0399
2015-03-18,1502.88,,0.039
2015-03-19,1512.85,,0.0394
2015-03-20,1524.11,,0.0391
2015-03-23,1553.76,,0.038
2015-03-24,1554.47,,0.038
2015-03-25,1526.4,,0.0391
2015-03-26,1529.05,,0.0387
2015-03-27,1538.064,,0.038
2015-03-30,1590.53,,0.0368
2015-03-31,1565.42,,0.0374
2015-04-01,1581.98,,0.0371
2015-04-02,1590.21,,0.0372
2015-04-03,1613.88,,0.0372
2015-04-07,1663.52,,0.0363
2015-04-08,1666.65,,0.0358
2015-04-09,1639.68,,0.0362
2015-04-10,1679.33,,0.0357
2015-04-13,1731.61,,0.0345
2015-04-14,1759.69,,0.0346
2015-04-15,1738.16,,0.0342
2015-04-16,1780.93,,0.0333
2015-04-17,1808.24,,0.0326
2015-04-20,1776.5,,0.0335
2015-04-21,1804.75,,0.0333
2015-04-22,1856.78,,0.0326
2015-04-23,1854.63,,0.0328
2015-04-24,1832.7,,0.0333
2015-04-27,1885.22,,0.0318
2015-04-28,1874.15,,0.0315
2015-04-29,1879.16,,0.0322
2015-04-30,1893.15,,0.0331
2015-05-04,1934.49,,0.0328
2015-05-05,1838.24,,0.0345
2015-05-06,1794.08,,0.0351
2015-05-07,1729.71,,0.0361
2015-05-08,1768.94,,0.0355
2015-05-11,1826.21,,0.0348
2015-05-12,1858.26,,0.0346
2015-05-13,1836.36,,0.035
2015-05-14,1843.16,,0.0351
2015-05-15,1809.18,,0.0359
2015-05-18,1784.15,,0.0366
2015-05-19,1840.48,,0.0354
